,id,ball,over,runs,shortText,text,preText,postText,isWide,isNoball,isRetiredHurt,isBoundary,currentBatsmen,currentBowlers,ballTimestamp,currentInning.id,currentInning.balls,currentInning.runs,currentInning.wickets,currentInning.team.name,currentInning.team.shortName,matchOver.maiden,matchOver.runs,matchOver.wickets,matchOver.totalRuns,matchOver.totalWicket,matchOver.runRate,matchOver.requiredRunRate,matchOver.batsmen,matchOver.bowlers,matchOver.teamShortName,matchOver.remainingOvers,matchOver.remainingBalls,matchOver.remainingRuns,matchWicket.id,matchWicket.batsmanName,matchWicket.bowlerName,matchWicket.batsmanRuns,matchWicket.batsmanBalls,matchWicket.text
12,218030,3,18,0,"Haris Rauf to Pandya, no run","extra bounce. Short outside off, and the ball beats Hardik's attempted uppercut","<p>That's the 100 partnership, by the way.</p>",,False,False,False,False,"[{'id': '625371', 'name': 'Hardik Pandya', 'runs': 39, 'balls': 35}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 62, 'balls': 48}]","[{'id': '1161606', 'name': 'Haris Rauf', 'overs': 3.3, 'maidens': 0, 'runs': 23, 'wickets': 2}, {'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 4, 'maidens': 0, 'runs': 34, 'wickets': 0}]",1666525024000,244922,111,131,4,India,IND,,,,,,,,,,,,,,,,,,,
11,218040,4,18,1,"Haris Rauf to Pandya, 1 run","hard length., angling into the body. Can't pull that, just manages to send it dribbling towards long-on off the sticker of the bat",<p>What a performance so far from Haris. Three more balls to deliver.</p>,,False,False,False,False,"[{'id': '625371', 'name': 'Hardik Pandya', 'runs': 40, 'balls': 36}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 62, 'balls': 48}]","[{'id': '1161606', 'name': 'Haris Rauf', 'overs': 3.4, 'maidens': 0, 'runs': 24, 'wickets': 2}, {'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 4, 'maidens': 0, 'runs': 34, 'wickets': 0}]",1666525058000,244922,112,132,4,India,IND,,,,,,,,,,,,,,,,,,,
10,218050,5,18,6,"Haris Rauf to Kohli, SIX","okay, wow. Has Kohli ever played a better shot in T20 cricket? Length ball, finishing around bail-high, and Kohli punches it with an almost straight bat, straight back over the bowler's head. Swivels through the hip a little as he does so, a la Jos Buttler, and it easily carries over the rope",,,False,False,False,True,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 68, 'balls': 49}, {'id': '625371', 'name': 'Hardik Pandya', 'runs': 40, 'balls': 36}]","[{'id': '1161606', 'name': 'Haris Rauf', 'overs': 3.5, 'maidens': 0, 'runs': 30, 'wickets': 2}, {'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 4, 'maidens': 0, 'runs': 34, 'wickets': 0}]",1666525097000,244922,113,138,4,India,IND,,,,,,,,,,,,,,,,,,,
9,218060,6,18,6,"Haris Rauf to Kohli, SIX","fullish, angling into leg stump, and Kohli has caused the MCG to explode into pure noise. A flick of the wrists, and the ball sails over the boundary to the left of fine leg. Wow!",,,False,False,False,True,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 74, 'balls': 50}, {'id': '625371', 'name': 'Hardik Pandya', 'runs': 40, 'balls': 36}]","[{'id': '1161606', 'name': 'Haris Rauf', 'overs': 4, 'maidens': 0, 'runs': 36, 'wickets': 2}, {'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 4, 'maidens': 0, 'runs': 34, 'wickets': 0}]",1666525162000,244922,114,144,4,India,IND,False,15.0,0.0,144.0,4.0,7.57,16.0,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 74, 'balls': 50}, {'id': '625371', 'name': 'Hardik Pandya', 'runs': 40, 'balls': 36}]","[{'id': '1161606', 'name': 'Haris Rauf', 'overs': 4, 'maidens': 0, 'runs': 36, 'wickets': 2}, {'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 4, 'maidens': 0, 'runs': 34, 'wickets': 0}]",IND,1.0,6.0,16.0,,,,,,
8,219010,1,19,0,"Mohammad Nawaz to Pandya, OUT","got him, what a strike for Pakistan! Flat, speared into the pads, and Hardik loses his shape completely as he tries to slog this over the leg side. Edges it, and the ball balloons to the fielder at cover point","<p>Mohammad Rizwan is standing back to the spinner! Deep extra-cover, long-off, long-on, cow corner, deep square leg are back.</p><p> </p><p>Fifteen off that over. Twelve off those last two balls. And it comes down to 16 off this final over, with Mohammad Nawaz to bowl. What an incredible game this has been. What an innings Virat Kohli has played.</p>",,False,False,False,False,"[{'id': '625371', 'name': 'Hardik Pandya', 'runs': 40, 'balls': 37}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 74, 'balls': 50}]","[{'id': '348148', 'name': 'Mohammad Nawaz', 'overs': 3.1, 'maidens': 0, 'runs': 29, 'wickets': 1}, {'id': '1161606', 'name': 'Haris Rauf', 'overs': 4, 'maidens': 0, 'runs': 36, 'wickets': 2}]",1666525342000,244922,115,144,5,India,IND,,,,,,,,,,,,,,625371,Hardik Pandya,Mohammad Nawaz,40.0,37.0,HH Pandya c Babar Azam b Mohammad Nawaz 40 (61m 37b 1x4 2x6) SR: 108.10
7,219020,2,19,1,"Mohammad Nawaz to Karthik, 1 run","down the track, and he gets a full-toss that's chest-high when he meets it. Would it have been as high if he was standing in his normal position? Probably not. Swatted down to long-on","<p>And with the new T20I rules in place, it'll be Dinesh Karthik on strike and not Kohli, even though the batters crossed over. DK isn't the greatest of starters against spin, usually...</p>",,False,False,False,False,"[{'id': '30045', 'name': 'Dinesh Karthik', 'runs': 1, 'balls': 1}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 74, 'balls': 50}]","[{'id': '348148', 'name': 'Mohammad Nawaz', 'overs': 3.2, 'maidens': 0, 'runs': 30, 'wickets': 1}, {'id': '1161606', 'name': 'Haris Rauf', 'overs': 4, 'maidens': 0, 'runs': 36, 'wickets': 2}]",1666525431000,244922,116,145,5,India,IND,,,,,,,,,,,,,,,,,,,
6,219030,3,19,2,"Mohammad Nawaz to Kohli, 2 runs","they need a boundary every ball, almost, but they only get two here. Very full, almost a wide yorker, and Kohli drags it down to long-on, all along the ground",<p>Kohli on strike. Fifteen to win off four balls. Fourteen to tie. Nawaz is basically bowling left-arm medium.</p>,,False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 76, 'balls': 51}, {'id': '30045', 'name': 'Dinesh Karthik', 'runs': 1, 'balls': 1}]","[{'id': '348148', 'name': 'Mohammad Nawaz', 'overs': 3.3, 'maidens': 0, 'runs': 32, 'wickets': 1}, {'id': '1161606', 'name': 'Haris Rauf', 'overs': 4, 'maidens': 0, 'runs': 36, 'wickets': 2}]",1666525490000,244922,117,147,5,India,IND,,,,,,,,,,,,,,,,,,,
5,219040,4,19,7,"Mohammad Nawaz to Kohli, (no ball) SIX","full-toss, full-toss, and it's gone for six!!!! It's only just gone for six, but it's gone for six nonetheless! On off stump, and it's a fairly high full-toss too - it's been called no-ball!!! - and Kohli swats it away over the leg side. Deep square leg leaps to his right, gets a hand to the ball to try and flap it back into play, but it still lands beyond the rope",,"<p>Babar's having a heated discussion with the umpires. Was that above waist height? Tight call, I would think.</p>",False,True,False,True,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 82, 'balls': 52}, {'id': '30045', 'name': 'Dinesh Karthik', 'runs': 1, 'balls': 1}]","[{'id': '348148', 'name': 'Mohammad Nawaz', 'overs': 3.3, 'maidens': 0, 'runs': 39, 'wickets': 1}, {'id': '1161606', 'name': 'Haris Rauf', 'overs': 4, 'maidens': 0, 'runs': 36, 'wickets': 2}]",1666525554000,244922,117,154,5,India,IND,,,,,,,,,,,,,,,,,,,
4,219050,4,19,1,"Mohammad Nawaz to Kohli, 1 wide","now he bowls a wide! All the pressure is on the poor bowler, and he looks to keep it away from Kohli's reach, but ends up spearing his wide yorker beyond the off-side tramline","<p>Suddenly, India need 6 off 3. Such a massive difference from 13 off 3.</p>",,True,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 82, 'balls': 52}, {'id': '30045', 'name': 'Dinesh Karthik', 'runs': 1, 'balls': 1}]","[{'id': '348148', 'name': 'Mohammad Nawaz', 'overs': 3.3, 'maidens': 0, 'runs': 40, 'wickets': 1}, {'id': '1161606', 'name': 'Haris Rauf', 'overs': 4, 'maidens': 0, 'runs': 36, 'wickets': 2}]",1666525644000,244922,117,155,5,India,IND,,,,,,,,,,,,,,,,,,,
3,219060,4,19,3,"Mohammad Nawaz to Kohli, 3 byes","bowled him, but it's a free hit! And they run three by the time the throw comes in from the third man region!!! Full, angling into off stump, and Kohli misses his attempted sweep. But he knows it's a free-hit, and he sets off at full pace, as does DK. The ball rolls between the keeper and short third, and they pick up three byes",<p>Five off three.</p>,,False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 82, 'balls': 53}, {'id': '30045', 'name': 'Dinesh Karthik', 'runs': 1, 'balls': 1}]","[{'id': '348148', 'name': 'Mohammad Nawaz', 'overs': 3.4, 'maidens': 0, 'runs': 40, 'wickets': 1}, {'id': '1161606', 'name': 'Haris Rauf', 'overs': 4, 'maidens': 0, 'runs': 36, 'wickets': 2}]",1666525729000,244922,118,158,5,India,IND,,,,,,,,,,,,,,,,,,,
