,Unnamed: 0,id,ball,over,runs,shortText,text,preText,postText,isWide,isNoball,isRetiredHurt,isBoundary,currentBatsmen,currentBowlers,ballTimestamp,currentInning.id,currentInning.balls,currentInning.runs,currentInning.wickets,currentInning.team.name,currentInning.team.shortName,matchOver.maiden,matchOver.runs,matchOver.wickets,matchOver.totalRuns,matchOver.totalWicket,matchOver.runRate,matchOver.requiredRunRate,matchOver.batsmen,matchOver.bowlers,matchOver.teamShortName,matchOver.remainingOvers,matchOver.remainingBalls,matchOver.remainingRuns,matchWicket.id,matchWicket.batsmanName,matchWicket.bowlerName,matchWicket.batsmanRuns,matchWicket.batsmanBalls,matchWicket.text
68,6,211020,2,11,1,"Kulasekara to Kohli, 1 run","back of a length,  rolls the fingers over it and keeps it outside off,  waits for it and guides it backward of point",,,False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 9, 'balls': 19}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 23, 'balls': 33}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4.2, 'maidens': 0, 'runs': 25, 'wickets': 0}, {'id': '233514', 'name': 'Thisara Perera', 'overs': 3, 'maidens': 0, 'runs': 15, 'wickets': 0}]",0.0,85915,69,52,2,India,IND,,,,,,,,,,,,,,,,,,,
69,5,211030,3,11,0,"Kulasekara to Gambhir, no run","full delivery angling across,  gets the front foot across and drives solidly to mid on",<p>Sanga comes back up to the stumps.</p>,,False,False,False,False,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 23, 'balls': 34}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 9, 'balls': 19}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4.3, 'maidens': 0, 'runs': 25, 'wickets': 0}, {'id': '233514', 'name': 'Thisara Perera', 'overs': 3, 'maidens': 0, 'runs': 15, 'wickets': 0}]",0.0,85915,70,52,2,India,IND,,,,,,,,,,,,,,,,,,,
70,4,211040,4,11,4,"Kulasekara to Gambhir, FOUR"," goes downtown in eatic style. He stays in the crease, but makes room through the off side as he stays on leg stump and pushes the front foot forward instead of across.  lands it in the zone and  just frees the arms to thump it over the covers.",,,False,False,False,True,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 27, 'balls': 35}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 9, 'balls': 19}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4.4, 'maidens': 0, 'runs': 29, 'wickets': 0}, {'id': '233514', 'name': 'Thisara Perera', 'overs': 3, 'maidens': 0, 'runs': 15, 'wickets': 0}]",0.0,85915,71,56,2,India,IND,,,,,,,,,,,,,,,,,,,
71,3,211050,5,11,1,"Kulasekara to Gambhir, 1 run","shorter length,  gets it away to mid on for a single",,,False,False,False,False,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 28, 'balls': 36}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 9, 'balls': 19}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4.5, 'maidens': 0, 'runs': 30, 'wickets': 0}, {'id': '233514', 'name': 'Thisara Perera', 'overs': 3, 'maidens': 0, 'runs': 15, 'wickets': 0}]",0.0,85915,72,57,2,India,IND,,,,,,,,,,,,,,,,,,,
72,2,211060,6,11,4,"Kulasekara to Kohli, FOUR","bad ball, right intention from the batsman, poorly executed, but he still gets four for it.  drops the bouncer too short and straight,  was anxious to get the pull fine, and ended up swivelling it off the top edge, finer than he wanted.",,,False,False,False,True,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 13, 'balls': 20}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 28, 'balls': 36}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 5, 'maidens': 0, 'runs': 34, 'wickets': 0}, {'id': '233514', 'name': 'Thisara Perera', 'overs': 3, 'maidens': 0, 'runs': 15, 'wickets': 0}]",0.0,85915,73,61,2,India,IND,False,11.0,0.0,61.0,2.0,5.08,5.63,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 13, 'balls': 20}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 28, 'balls': 36}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 5, 'maidens': 0, 'runs': 34, 'wickets': 0}, {'id': '233514', 'name': 'Thisara Perera', 'overs': 3, 'maidens': 0, 'runs': 15, 'wickets': 0}]",IND,38.0,228.0,214.0,,,,,,
73,1,212010,1,12,1,"Perera to Gambhir, 1 wide","short ball,  hustles down and looks to flick, but it slides down the leg side. Big appeal for caught behind, but no nick","<p>Saad: ""Very important thing for SL here is that they should not start thinking that they have got it in their pocket by getting Sehwag and Sachin and I have a feeling that they have got a bit easy out there.""</p>",,True,False,False,False,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 28, 'balls': 36}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 13, 'balls': 20}]","[{'id': '233514', 'name': 'Thisara Perera', 'overs': 3, 'maidens': 0, 'runs': 16, 'wickets': 0}, {'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 5, 'maidens': 0, 'runs': 34, 'wickets': 0}]",0.0,85915,74,62,2,India,IND,,,,,,,,,,,,,,,,,,,
74,0,212020,1,12,1,"Perera to Gambhir, 1 run","short of a length on the pads,  whips to midwicket for a single","<p>Meanwhile, Gambhir's become the 11th Indian batsman to score 4000 runs in ODIs. Among these 11 players, his average of 40.44 is the fourth best.</p>",,False,False,False,False,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 29, 'balls': 37}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 13, 'balls': 20}]","[{'id': '233514', 'name': 'Thisara Perera', 'overs': 3.1, 'maidens': 0, 'runs': 17, 'wickets': 0}, {'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 5, 'maidens': 0, 'runs': 34, 'wickets': 0}]",0.0,85915,75,63,2,India,IND,,,,,,,,,,,,,,,,,,,
75,24,212030,2,12,1,"Perera to Kohli, 1 wide","wide, well outside off, and  lets it go.","<p>Ady: ""PLS PROVIDE THE LINK FOR IND KOLKATA MATCH! TIME FOR HOME, I DOWN WITH 3 PEGS OF JACK DANIELS.. IN DESPERATE NEED FOR SOME MOTIVATION... ""</p><p>I guess he's too drunk to scroll. Or hit the caps lock. Too bad!</p>",,True,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 13, 'balls': 20}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 29, 'balls': 37}]","[{'id': '233514', 'name': 'Thisara Perera', 'overs': 3.1, 'maidens': 0, 'runs': 18, 'wickets': 0}, {'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 5, 'maidens': 0, 'runs': 34, 'wickets': 0}]",0.0,85915,76,64,2,India,IND,,,,,,,,,,,,,,,,,,,
76,23,212040,2,12,1,"Perera to Kohli, 1 run","smart batting from , plays with hands as soft as a baby's bottom as he drops a back of length ball towards point for one",,,False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 14, 'balls': 21}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 29, 'balls': 37}]","[{'id': '233514', 'name': 'Thisara Perera', 'overs': 3.2, 'maidens': 0, 'runs': 19, 'wickets': 0}, {'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 5, 'maidens': 0, 'runs': 34, 'wickets': 0}]",0.0,85915,77,65,2,India,IND,,,,,,,,,,,,,,,,,,,
77,22,212050,3,12,0,"Perera to Gambhir, no run","aha, good bouncer,  was clearly taken by surprise by the lift  got, and ended up fending without control towards short fine leg. He thinks of a single as he hustles out, but the throw comes in and hits the stumps. He again thinks of a single, but decides against it.",,,False,False,False,False,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 29, 'balls': 38}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 14, 'balls': 21}]","[{'id': '233514', 'name': 'Thisara Perera', 'overs': 3.3, 'maidens': 0, 'runs': 19, 'wickets': 0}, {'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 5, 'maidens': 0, 'runs': 34, 'wickets': 0}]",0.0,85915,78,65,2,India,IND,,,,,,,,,,,,,,,,,,,
